TIMESTAMP;SW_BELOW;SW_IN
201408071030;476;776
201408071045;433;803
201408071100;398;828
201408071115;401;847
201408071130;403;863
201408071145;475;874
201408071200;440;881
201408071215;447;888
201408071230;497;891
201408071245;558;888
201408071300;547;881
201408071315;537;868
201408071330;525;853
201408071345;410;835
201408071400;439;817
201408071415;421;792
201408071430;388;765
201408071445;446;735
201408071500;323;703
201408071515;354;668
201408071530;371;627
201408071545;347;588
201408071600;313;545
201408071615;266;499
201408071630;229;448
201408071645;220;400
201408071700;180;345
201408071715;134;299
201408071730;121;253
201408071745;92;202
201408071800;53;151
201408071815;32;108
201408071830;11;68
201408071845;3;37
201408071900;1;13
201408071915;2;1
201408071930;0;0
201408071945;0;0
201408072000;0;0
201408072015;0;0
201408072030;0;0
201408072045;0;0
201408072100;0;0
201408072115;0;0
201408072130;0;0
201408072145;0;0
201408072200;0;0
201408072215;0;0
201408072230;0;0
201408072245;0;0
201408072300;0;0
201408072315;0;0
201408072330;0;0
201408072345;0;0
201408080000;0;0
201408080015;0;0
201408080030;0;0
201408080045;0;0
201408080100;0;0
201408080115;0;0
201408080130;0;0
201408080145;0;0
201408080200;0;0
201408080215;0;0
201408080230;0;0
201408080245;0;0
201408080300;0;0
201408080315;0;0
201408080330;0;0
201408080345;0;0
201408080400;0;0
201408080415;0;0
201408080430;0;0
201408080445;0;0
201408080500;0;0
201408080515;1;1
201408080530;3;7
201408080545;7;27
201408080600;17;56
201408080615;31;92
201408080630;45;133
201408080645;84;175
201408080700;122;223
201408080715;151;265
201408080730;169;306
201408080745;238;353
201408080800;252;400
201408080815;308;444
201408080830;265;488
201408080845;275;533
201408080900;332;577
201408080915;362;619
201408080930;425;660
201408080945;420;704
201408081000;378;746
201408081015;421;775
201408081030;419;805
201408081045;485;831
201408081100;431;851
201408081115;421;870
201408081130;413;886
201408081145;415;888
201408081200;462;902
201408081215;441;909
201408081230;402;842
201408081245;520;850
201408081300;569;893
201408081315;558;891
201408081330;542;872
201408081345;483;850
201408081400;434;850
201408081415;473;825
